id,carat,cut,color,clarity,depth,table,x,y,z,price
1079,0.51,Ideal,G,SI1,61.5,56.0,5.16,5.18,3.18,1286
1080,,Ideal,F,SI2,61.0,56.0,5.94,5.98,3.65,2674
1081,0.3,Ideal,F,SI1,61.9,57.0,4.3,4.32,2.66,491
1082,1.02,Ideal,F,VS1,61.6,56.0,6.48,6.54,4.01,8796
1083,0.52,Very Good,F,SI1,61.9,58.0,5.14,5.18,3.19,1392
1084,0.41,Ideal,E,VS2,61.8,55.0,4.82,4.77,2.96,957
1085,0.41,Premium,F,VS1,60.7,61.0,4.8,4.77,2.89,1024
1086,1.22,Very Good,H,VS2,62.7,58.0,6.78,6.82,4.26,7411
1087,,Ideal,E,SI2,63.0,57.0,6.89,6.84,4.34,6346
1088,0.57,Ideal,G,VS1,61.1,57.0,5.36,5.3,3.26,2250
1089,,Ideal,G,VVS2,62.3,55.0,4.89,4.92,3.05,1105
1090,0.33,Ideal,E,VS1,61.8,56.0,4.49,4.47,2.77,1002
1091,,Ideal,E,SI1,60.8,56.0,5.75,5.77,3.5,2719
1092,0.4,Premium,G,VS1,61.8,58.0,4.72,4.69,2.91,952
1093,,Ideal,G,VS1,61.3,57.0,5.68,5.72,3.49,2966
1094,,Ideal,F,SI2,61.3,57.0,6.53,6.51,4.0,4915
1095,,Very Good,H,VS2,63.2,57.0,6.07,6.1,3.85,3968
1096,0.31,Ideal,,IF,61.9,55.0,4.36,4.39,2.71,914
1097,,Fair,E,SI2,64.4,57.0,5.62,5.59,3.59,2351
1098,1.5,Premium,J,VS2,63.0,58.0,7.27,7.22,4.58,7950
1099,1.08,Ideal,H,SI2,62.3,57.0,6.56,6.6,4.1,4918
1100,0.56,Very Good,E,VS2,60.1,56.0,5.4,5.37,3.23,2003
1101,0.54,Very Good,I,VS2,63.3,57.0,5.18,5.15,3.27,1304
1102,0.31,Very Good,,VS1,62.7,59.0,4.3,4.34,2.71,642
1103,1.29,Premium,H,VS1,60.1,58.0,7.15,7.18,4.31,7923
1104,1.13,Premium,,SI1,62.0,58.0,6.68,6.64,4.13,4470
1105,0.51,Ideal,D,VS2,60.6,56.0,5.21,5.19,3.14,1866
1106,,Ideal,D,SI1,61.6,55.0,7.25,7.29,4.48,13280
1107,0.54,Ideal,G,VVS2,62.3,55.0,5.19,5.17,3.23,1814
1108,,Premium,F,SI1,61.1,59.0,6.43,6.41,3.92,5260
1109,,Ideal,G,VS2,62.5,56.0,4.77,4.74,2.98,1087
1110,,Premium,,VS2,62.4,59.0,6.82,6.86,4.27,8563
1111,0.31,Ideal,,SI1,62.1,56.0,4.33,4.37,2.7,597
1112,1.07,Very Good,F,VS2,62.0,58.0,6.51,6.53,4.05,6459
1113,1.23,Ideal,H,VVS2,61.3,57.0,6.98,6.94,4.26,9678
1114,0.24,Very Good,F,IF,62.0,55.0,3.99,4.01,2.47,633
1115,0.56,Ideal,H,VS1,62.1,56.0,5.28,5.32,3.29,1637
1116,0.4,Premium,G,VS2,62.8,59.0,4.72,4.67,2.94,829
1117,,Premium,D,VVS1,60.9,59.0,4.52,4.48,2.74,1272
1118,0.31,Ideal,G,VVS1,62.2,57.0,4.35,4.36,2.71,865
1119,1.02,Ideal,,SI1,62.1,56.0,6.42,6.46,4.0,4975
1120,1.1,Premium,I,SI1,60.2,61.0,6.68,6.62,4.01,4427
1121,0.34,Ideal,H,VVS2,61.4,55.0,4.5,4.51,2.76,694
1122,0.51,Ideal,,VS2,62.2,57.0,5.11,5.14,3.19,1815
1123,1.01,Ideal,H,SI1,62.0,56.0,6.47,6.41,3.99,4925
1124,,Ideal,F,VVS1,61.2,56.0,4.39,4.44,2.7,867
1125,0.34,Ideal,,VVS2,62.6,54.0,4.41,4.44,2.77,775
1126,0.5,Premium,E,SI2,62.3,58.0,5.09,5.11,3.18,1175
1127,,Ideal,,SI1,62.2,55.0,5.7,5.67,3.54,2706
1128,0.32,Ideal,H,IF,62.3,57.0,4.35,4.38,2.72,814
1129,0.53,Ideal,G,VVS2,62.2,55.0,5.21,5.17,3.23,2099
1130,0.3,Premium,H,VS2,60.5,58.0,4.35,4.37,2.64,521
1131,1.02,Premium,I,SI1,62.7,58.0,6.34,6.36,3.99,3301
1132,0.38,Ideal,,VVS1,61.0,55.0,4.68,4.72,2.87,1267
1133,0.7,Ideal,G,VS1,61.9,55.0,5.71,5.75,3.55,2803
1134,0.32,Premium,G,VVS1,60.2,58.0,4.44,4.48,2.68,1080
1135,1.0,Very Good,D,SI2,62.4,59.0,6.34,6.38,3.97,4522
1136,0.34,Ideal,,SI1,61.1,55.0,4.53,4.51,2.76,684
1137,1.01,Premium,H,SI2,62.3,59.0,6.37,6.41,3.98,4498
1138,0.5,Premium,G,VVS1,62.3,60.0,5.12,5.08,3.18,2070
1139,0.43,Ideal,F,VS1,60.9,57.0,4.88,4.87,2.97,910
1140,1.54,Premium,D,VS2,62.7,57.0,7.43,7.36,4.62,15802
1141,0.34,Very Good,G,VS1,61.0,59.0,4.5,4.54,2.75,657
1142,1.01,Premium,,SI2,62.8,58.0,6.33,6.36,3.99,4290
1143,,Premium,D,SI1,59.6,59.0,4.83,4.91,2.89,992
1144,0.7,Ideal,F,VVS2,62.1,56.0,5.65,5.69,3.52,3290
1145,2.01,Premium,I,VS1,60.3,61.0,8.13,8.07,4.89,15931
1146,1.27,Premium,H,VS1,61.6,58.0,6.99,6.95,4.29,7989
1147,1.2,Ideal,G,VS2,61.4,57.0,6.82,6.86,4.2,7134
1148,,Good,D,VS2,64.0,58.0,5.01,5.04,3.22,1749
1149,0.31,Ideal,D,VS2,62.4,56.0,4.36,4.33,2.71,942
1150,,Ideal,,VVS1,61.2,56.0,4.34,4.38,2.67,826
1151,1.2,Premium,,SI2,62.7,55.0,6.82,6.74,4.25,5433
1152,1.12,Premium,G,VS1,62.2,57.0,6.65,6.67,4.14,6076
1153,,Premium,H,SI1,62.4,58.0,8.59,8.56,5.31,18028
1154,0.3,Very Good,E,IF,60.8,59.0,4.25,4.28,2.6,789
1155,0.4,Ideal,G,VS2,62.6,57.0,4.65,4.7,2.93,984
1156,1.15,Ideal,,SI1,60.9,60.0,6.72,6.82,4.13,4695
1157,2.0,Ideal,G,VS2,67.7,58.0,7.59,7.63,5.12,17570
1158,0.42,Very Good,E,VVS2,59.1,59.0,4.92,4.96,2.92,1251
1159,2.01,Premium,I,SI1,62.3,59.0,8.08,8.06,5.03,15291
1160,,Ideal,,VS2,62.4,57.0,4.46,4.49,2.79,645
1161,1.01,Ideal,G,VS2,62.2,54.0,6.42,6.38,3.98,6299
1162,,Ideal,D,SI2,62.0,56.0,5.18,5.21,3.22,1308
1163,0.32,Premium,E,SI1,60.8,58.0,4.41,4.44,2.69,561
1164,1.56,Ideal,I,SI1,61.9,57.0,7.39,7.44,4.58,7974
1165,0.31,Very Good,G,VVS2,62.8,57.0,4.32,4.38,2.74,907
1166,0.54,Premium,G,SI1,61.3,60.0,5.23,5.27,3.22,1304
1167,1.01,Very Good,H,SI1,62.5,60.0,6.36,6.39,3.99,4743
1168,0.32,Ideal,E,VS2,61.9,56.0,4.43,4.38,2.73,900
1169,1.53,Ideal,D,SI1,61.6,55.0,7.45,7.41,4.58,13777
1170,1.2,Ideal,J,SI2,61.5,56.0,6.79,6.82,4.19,3913
1171,1.28,Ideal,G,SI1,61.1,57.0,7.04,7.0,4.28,7443
1172,1.52,Ideal,F,SI1,61.5,53.9,7.44,7.39,4.57,13152
1173,0.32,Very Good,,SI1,62.3,58.0,4.4,4.45,2.76,589
1174,,Ideal,H,VS1,61.7,57.0,6.64,6.6,4.1,7311
1175,0.7,Ideal,I,VS2,59.8,57.0,5.75,5.81,3.45,2320
1176,,Ideal,E,VS1,61.3,56.0,4.54,4.58,2.8,829
1177,0.3,Good,H,SI1,63.9,54.0,4.25,4.29,2.73,442
1178,0.4,Very Good,D,SI1,63.4,58.0,4.68,4.65,2.95,756
1179,0.32,Ideal,G,VVS1,61.6,56.0,4.41,4.38,2.71,1080
1180,0.28,Ideal,F,VS2,61.8,54.0,4.21,4.24,2.62,487
1181,1.04,Ideal,H,SI1,62.4,55.0,6.47,6.5,4.05,5049
1182,,Ideal,,SI1,62.0,55.0,5.79,5.76,3.58,2805
1183,0.73,Premium,E,VS1,62.7,60.0,5.74,5.72,3.59,3465
1184,0.6,Fair,E,SI2,67.8,61.0,5.31,5.17,3.94,1999
1185,1.54,Premium,G,VS2,61.0,58.0,7.42,7.49,4.54,13320
1186,0.3,Ideal,F,IF,62.2,54.0,4.34,4.3,2.69,957
1187,0.34,Ideal,,SI1,62.6,54.0,4.5,4.52,2.83,589
1188,0.7,Ideal,G,SI1,61.2,57.0,5.66,5.73,3.49,2288
1189,1.11,Very Good,D,SI2,61.8,60.0,6.65,6.61,4.1,5050
1190,1.5,Very Good,D,SI1,61.5,59.0,7.33,7.38,4.52,11431
1191,2.03,Ideal,I,VS2,62.1,56.0,8.15,8.1,5.05,16817
1192,2.19,Ideal,H,SI2,62.6,55.0,8.25,8.23,5.13,11226
1193,1.05,Premium,,SI1,62.1,56.0,6.53,6.57,4.07,4498
1194,1.78,Ideal,F,SI1,62.3,57.0,7.68,7.73,4.81,12831
1195,0.51,Ideal,F,VS2,61.9,56.0,5.13,5.15,3.18,1402
1196,0.71,Very Good,,VS2,63.1,57.0,5.72,5.68,3.59,3075
1197,0.7,Premium,E,VS1,61.9,58.0,5.7,5.65,3.51,2874
1198,,Ideal,H,SI2,62.1,55.0,6.66,6.59,4.13,4611
1199,0.71,Very Good,J,VS2,62.8,58.0,5.71,5.76,3.59,2198
1200,0.27,Very Good,D,VS1,61.7,57.0,4.14,4.17,2.57,622
1201,0.32,Ideal,H,VS2,62.0,56.0,4.39,4.37,2.72,580
1202,0.7,Premium,H,VS1,62.5,59.0,5.69,5.64,3.54,2366
1203,,Ideal,H,VS2,62.6,57.0,6.42,6.38,4.0,5322
1204,,Ideal,G,VS1,61.2,55.0,7.6,7.56,4.66,14137
1205,0.3,Ideal,D,SI1,61.4,56.0,4.31,4.34,2.65,589
1206,0.39,Very Good,D,VVS2,59.1,57.0,4.78,4.82,2.82,1119
1207,0.31,Ideal,D,VVS2,62.4,56.0,4.33,4.36,2.71,766
1208,0.38,Very Good,D,VS1,60.0,59.0,4.7,4.71,2.82,933
1209,1.16,Ideal,G,VS2,62.5,55.0,6.71,6.64,4.17,7096
1210,1.04,Premium,,VS2,61.8,58.0,6.53,6.5,4.03,5818
1211,0.34,Premium,G,VS2,59.8,61.0,4.54,4.51,2.71,765
1212,0.6,Premium,E,SI1,60.8,58.0,5.39,5.44,3.29,1551
1213,0.3,Very Good,F,SI2,62.9,58.0,4.25,4.27,2.68,394
1214,,Ideal,,SI1,62.1,57.0,4.74,4.76,2.95,875
1215,1.01,Good,F,VS2,63.7,58.0,6.3,6.38,4.04,6106
1216,1.54,Ideal,H,SI1,61.7,56.0,7.35,7.46,4.57,8688
1217,1.03,Ideal,G,SI2,61.8,55.0,6.48,6.53,4.02,4242
1218,0.31,Ideal,E,VVS1,60.6,57.0,4.39,4.41,2.66,1000
1219,0.39,Very Good,F,VS2,61.4,57.0,4.71,4.73,2.9,746
1220,1.61,Very Good,H,SI1,62.3,58.0,7.44,7.51,4.66,9818
1221,1.5,Good,J,SI2,63.6,62.0,7.22,7.24,4.59,5287
1222,,Ideal,,VS1,62.5,57.0,4.7,4.73,2.94,711
1223,0.31,Ideal,H,VS2,61.9,55.0,4.32,4.37,2.69,646
1224,0.4,Ideal,G,VS1,62.8,56.0,4.74,4.79,2.98,1085
1225,0.34,Premium,H,SI1,62.7,58.0,4.47,4.5,2.81,574
1226,1.01,Very Good,I,SI1,63.3,56.0,6.4,6.33,4.02,4200
1227,0.3,Very Good,J,VS1,63.2,59.0,4.2,4.24,2.66,394
1228,,Ideal,,SI1,62.3,55.0,5.09,5.13,3.19,1131
1229,0.4,Very Good,G,VS2,62.9,57.0,4.67,4.7,2.95,772
1230,0.7,Very Good,G,SI1,62.7,58.0,5.7,5.74,3.58,2040
1231,1.01,Premium,,SI1,62.4,58.0,6.4,6.43,3.99,4685
1232,0.72,Very Good,,SI1,62.5,60.0,5.65,5.72,3.55,2212
1233,2.39,Premium,I,SI2,60.6,59.0,8.68,8.65,5.21,11195
1234,,Very Good,J,SI1,61.1,58.0,7.04,6.99,4.27,6332
1235,0.32,Ideal,H,VS1,62.5,56.0,4.31,4.35,2.71,524
1236,1.03,Premium,,VS1,63.0,58.0,6.45,6.38,4.04,5438
1237,0.56,Very Good,,VVS2,60.3,57.0,5.32,5.36,3.22,1696
1238,0.34,Ideal,G,IF,61.3,54.0,4.55,4.53,2.78,979
1239,,Very Good,G,VS2,61.2,57.0,4.45,4.42,2.72,743
1240,0.41,Premium,E,SI1,60.0,58.0,4.82,4.85,2.9,755
1241,1.21,Very Good,G,VVS2,61.8,58.0,6.78,6.81,4.19,9123
1242,0.53,Ideal,E,SI2,62.2,56.0,5.21,5.18,3.23,1163
1243,1.02,Ideal,F,SI2,62.2,56.0,6.41,6.43,3.99,5176
1244,1.22,Premium,I,VS1,62.6,59.0,6.8,6.76,4.24,6012
1245,,Premium,G,VS2,61.7,57.0,6.57,6.62,4.07,6230
1246,0.52,Ideal,E,VVS1,61.8,56.0,5.18,5.22,3.22,2685
1247,0.3,Ideal,G,VVS2,62.5,57.0,4.32,4.3,2.7,878
1248,0.35,Premium,F,SI1,62.8,58.0,4.54,4.5,2.84,706
1249,0.34,Premium,I,VS1,61.9,58.0,4.5,4.53,2.79,537
